Time Cost: 68.62752771377563s
Community 1166: ['4329']
Community 1167: ['4330']
Community 1168: ['4331']
Community 1169: ['4332']
Community 1170: ['4333']
Community 1171: ['4334']
Community 1172: ['4335']
Community 1173: ['4336']
Community 1174: ['4337']
Community 1175: ['4338']
Community 1176: ['4339']
Community 1177: ['4340']
Community 1178: ['4341']
Community 1179: ['4342']
Community 1180: ['4343']
Community 1181: ['4344']
Community 1182: ['4345']
Community 1183: ['4346']
Community 1184: ['4347']
Community 1185: ['4348']
Community 1186: ['4349']
Community 1187: ['4350']
Community 1188: ['4351']
Community 1189: ['4352']
Community 1190: ['4353']
Community 1191: ['4354']
Community 1192: ['4355']
Community 1193: ['4356']
Community 1194: ['4357']
Community 1195: ['4358']
Community 1196: ['4359']
Community 1197: ['4360']
Community 1198: ['4361']
Community 1199: ['4362']
Community 1200: ['4363']
Community 1201: ['4364']
Community 1202: ['4365']
Community 1203: ['4366']
Community 1204: ['4367']
Community 1205: ['4368']
Community 1206: ['4369']
Community 1207: ['4370']
Community 1208: ['4371']
Community 1209: ['4372']
Community 1210: ['4373']
Community 1211: ['4374']
Community 1212: ['4375']
Community 1213: ['4376']
Community 1214: ['4377']
Community 1215: ['4378']
Community 1216: ['4379']
Community 1217: ['4380']
Community 1218: ['4381']
Community 1219: ['4382']
Community 1220: ['4383']
Community 1221: ['4384']
Community 1222: ['4385']
Community 1223: ['4386']
Community 1224: ['4387']
Community 1225: ['4388']
Community 1226: ['4389']
Community 1227: ['4390']
Community 1228: ['4391']
Community 1229: ['4392']
Community 1230: ['4393']
Community 1231: ['4394']
Community 1232: ['4395']
Community 1233: ['4396']
Community 1234: ['4397']
Community 1235: ['4398']
Community 1236: ['4399']
Community 1237: ['4400']
Community 1238: ['4401']
Community 1239: ['4402']
Community 1240: ['4403']
