Solution index,Edge index,Total cell-cell edges,Edges colored,Color percentage
6684,85,110,24,0.21818181818181817
6685,42,110,67,0.6090909090909091
6686,42,106,63,0.5943396226415094
6687,42,108,65,0.6018518518518519
6688,48,108,59,0.5462962962962963
6689,43,108,64,0.5925925925925926
6690,39,108,68,0.6296296296296297
6691,76,108,31,0.28703703703703703
6692,70,108,37,0.3425925925925926
6693,36,109,72,0.6605504587155964
6694,90,109,18,0.1651376146788991
6695,91,108,16,0.14814814814814814
6696,46,107,60,0.5607476635514018
6697,42,109,66,0.6055045871559633
6698,37,107,69,0.6448598130841121
6699,87,108,20,0.18518518518518517
6700,51,108,56,0.5185185185185185
6701,47,109,61,0.5596330275229358
6702,47,109,61,0.5596330275229358
6703,52,109,56,0.5137614678899083
6704,49,108,58,0.5370370370370371
6705,44,108,63,0.5833333333333334
6706,40,110,69,0.6272727272727273
6707,49,106,56,0.5283018867924528
6708,52,109,56,0.5137614678899083
6709,39,108,68,0.6296296296296297
6710,45,110,64,0.5818181818181818
6711,50,107,56,0.5233644859813084
6712,48,108,59,0.5462962962962963
6713,52,109,56,0.5137614678899083
6714,58,108,49,0.4537037037037037
